cve_id,published,last_modified,published_year,description,all_nvd_cwes,cwe_699_matches,number_of_nvd_cwes,number_of_cwe_699_matches
CVE-2024-21732,2024-01-01T08:15:36.087,2026-06-17T07:10:02.103,2024,FlyCms through abbaa5a allows XSS via the permission management feature.,CWE-79,CWE-79,1,1
CVE-2024-0181,2024-01-01T17:15:08.543,2026-06-17T06:52:56.753,2024,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /admin/admin_user.php of the component Admin Panel. The manipulation of the argument Firstname/Lastname/Username leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249433 was assigned to this vulnerability.,CWE-79,CWE-79,1,1
CVE-2024-0182,2024-01-01T21:15:24.777,2026-06-17T06:52:56.883,2024,A vulnerability was found in SourceCodester Engineers Online Portal 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely. The identifier of this vulnerability is VDB-249440.,CWE-89,CWE-89,1,1
CVE-2024-0184,2024-01-02T00:15:08.243,2026-06-17T06:52:57.140,2024,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. This vulnerability affects unknown code of the file /admin/edit_teacher.php of the component Add Enginer. The manipulation of the argument Firstname/Lastname leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-249442 is the identifier assigned to this vulnerability.,CWE-79,CWE-79,1,1
CVE-2024-0185,2024-01-02T01:15:08.020,2026-06-17T06:52:57.273,2024,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been rated as critical. This issue affects some unknown processing of the file dasboard_teacher.php of the component Avatar Handler. The manipulation leads to unrestricted upload. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249443.,CWE-434,CWE-434,1,1
CVE-2024-0186,2024-01-02T01:15:08.273,2026-06-17T06:52:57.403,2024,A vulnerability classified as problematic has been found in HuiRan Host Reseller System up to 2.0.0. Affected is an unknown function of the file /user/index/findpass?do=4 of the component HTTP POST Request Handler. The manipulation leads to weak password recovery. It is possible to launch the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249444.,CWE-640,CWE-640,1,1
CVE-2024-0188,2024-01-02T15:15:10.200,2026-06-17T06:52:57.677,2024,"A vulnerability, which was classified as problematic, was found in RRJ Nueva Ecija Engineer Online Portal 1.0. This affects an unknown part of the file change_password_teacher.php. The manipulation leads to weak password requirements. It is possible to initiate the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier VDB-249501 was assigned to this vulnerability.",CWE-521,CWE-521,1,1
CVE-2024-0189,2024-01-02T18:15:08.037,2026-06-17T06:52:57.803,2024,A vulnerability has been found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This vulnerability affects unknown code of the file teacher_message.php of the component Create Message Handler. The manipulation of the argument Content with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-249502 is the identifier assigned to this vulnerability.,CWE-79,CWE-79,1,1
CVE-2024-0190,2024-01-02T19:15:11.717,2026-06-17T06:52:57.960,2024,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This issue affects some unknown processing of the file add_quiz.php of the component Quiz Handler. The manipulation of the argument Quiz Title/Quiz Description with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249503.,CWE-79,CWE-79,1,1
CVE-2024-0191,2024-01-02T20:15:10.700,2026-06-17T06:52:58.090,2024,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been classified as problematic. Affected is an unknown function of the file /admin/uploads/. The manipulation leads to file and directory information exposure. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249504.,CWE-538,CWE-538,1,1
CVE-2024-0192,2024-01-02T20:15:10.933,2026-06-17T06:52:58.217,2024,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as critical. Affected by this vulnerability is an unknown functionality of the file downloadable.php of the component Add Downloadable. The manipulation leads to unrestricted upload. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249505 was assigned to this vulnerability.,CWE-434,CWE-434,1,1
CVE-2024-0194,2024-01-02T21:15:09.760,2026-06-17T06:52:58.623,2024,"A vulnerability, which was classified as critical, has been found in CodeAstro Internet Banking System up to 1.0. This issue affects some unknown processing of the file pages_account.php of the component Profile Picture Handler. The manipulation leads to unrestricted upload. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249509 was assigned to this vulnerability.",CWE-434,CWE-434,1,1
CVE-2024-0195,2024-01-02T21:15:10.003,2026-06-17T06:52:58.750,2024,"A vulnerability, which was classified as critical, was found in spider-flow 0.4.3. Affected is the function FunctionService.saveFunction of the file src/main/java/org/spiderflow/controller/FunctionController.java. The manipulation leads to code injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. VDB-249510 is the identifier assigned to this vulnerability.",CWE-94,CWE-94,1,1
CVE-2024-21627,2024-01-02T21:15:10.467,2026-06-17T07:09:52.547,2024,"PrestaShop is an open-source e-commerce platform. Prior to versions 8.1.3 and 1.7.8.11, some event attributes are not detected by the `isCleanHTML` method. Some modules using the `isCleanHTML` method could be vulnerable to cross-site scripting. Versions 8.1.3 and 1.7.8.11 contain a patch for this issue. The best workaround is to use the `HTMLPurifier` library to sanitize html input coming from users. The library is already available as a dependency in the PrestaShop project. Beware though that in legacy object models, fields of `HTML` type will call `isCleanHTML`.",CWE-20|CWE-79,CWE-79,2,1
CVE-2024-0196,2024-01-02T22:15:09.453,2026-06-17T06:52:58.890,2024,A vulnerability has been found in Magic-Api up to 2.0.1 and classified as critical. Affected by this vulnerability is an unknown functionality of the file /resource/file/api/save?auto=1. The manipulation leads to code injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249511.,CWE-94,CWE-94,1,1
CVE-2024-21628,2024-01-02T22:15:09.687,2026-06-17T07:09:52.680,2024,"PrestaShop is an open-source e-commerce platform. Prior to version 8.1.3, the isCleanHtml method is not used on this this form, which makes it possible to store a cross-site scripting payload in the database. The impact is low because the HTML is not interpreted in BO, thanks to twig's escape mechanism. In FO, the cross-site scripting attack is effective, but only impacts the customer sending it, or the customer session from which it was sent. This issue affects those who have a module fetching these messages from the DB and displaying it without escaping HTML. Version 8.1.3 contains a patch for this issue.",CWE-79,CWE-79,1,1
CVE-2024-0207,2024-01-03T08:15:10.053,2026-06-17T06:53:00.057,2024,HTTP3 dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file,CWE-125,CWE-125,1,1
CVE-2024-0209,2024-01-03T08:15:10.793,2026-06-17T06:53:00.300,2024,"IEEE 1609.2 dissector crash in Wireshark 4.2.0, 4.0.0 to 4.0.11, and 3.6.0 to 3.6.19 allows denial of service via packet injection or crafted capture file",CWE-476,CWE-476,1,1
CVE-2024-0211,2024-01-03T08:15:11.443,2026-06-17T06:53:00.543,2024,DOCSIS dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file,CWE-835,CWE-835,1,1
CVE-2024-21908,2024-01-03T16:15:08.913,2026-06-17T07:10:23.313,2024,TinyMCE versions before 5.9.0 are affected by a stored cross-site scripting vulnerability. An unauthenticated and remote attacker could insert crafted HTML into the editor resulting in arbitrary JavaScript execution in another user's browser.,CWE-79,CWE-79,1,1
